nome,cidade,estado,bairro,endereco_completo,cep,email,latitude,longitude
CRAS - CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL,Belo Monte,AL,CENTRO,"RUA DA MATRIZ, 12",57435000,crasbm@hotmail.com,-98.2851388524127,-372.786283493042
CRAS GIRASSOL,Belo Oriente,MG,PERPÉTUO SOCORRO,"Milton Campos, 15",35196000,crassede@belooriente.mg.gov.br,-1.93152339e-06,-4.23694664e-06
CRAS Girassol - Unidade 4 (Sede),Belo Oriente,MG,Centro de Belo Oriente,"Nossa Senhora da Piedade, 6",35195000,assistenciasocial@belooriente.mg.gov.br,-192.215311115595,-4.24852466583252
CRAS Girassol - Unidade 3 (S.S. Braúnas),Belo Oriente,MG,São Sebastião de Braunas,"Praça São Sebastião, 46",35195000,crasgirassolbraunas@gmail.com,-1.92469282e-06,-4.24538353e-06
CRAS Girassol - Unidade 2 (B.J.Bagre),Belo Oriente,MG,Milagres,"Raimundo Leonídio de Almeida, 405",35195000,crasbjb@belooriente.mg.gov.br,-19.2199405788407,-42.4839699268341
CRAS BELO VALE,Belo Vale,MG,centro,"Rua Doutor Antônio de Freitas Vitarelli, 58",35473000,ssocial.pmbelovale@gmail.com,-204.094773243857,-4.40234398841858
CRAS Centro de Referência da Assistência Social de Belterra,Belterra,PA,Centro,"ESTRADA QUATRO, 2651",68143000,cras@belterra.pa.gov.br,-26.391002727409,-54.9359858036041
CRAS BELAS ÁGUAS,Belágua,MA,CENTRO,"RUA NOVA, S/N",65535000,crasbelaguamaranhao@gmail.com,-31.613628549256,-43.5057520866394
CRAS CREMAÇÃO,Belém,PA,CREMAÇÃO,"ALCINDO CACELA, 2993",66065205,crascremacao@yahoo.com.br,-146.337213063391,-48.4766042232513
CRAS GUAMÁ,Belém,PA,GUAMÁ,"AUGUSTO CORRÊA, 494",66075110,crasguama@outlook.com,-147.151800919195,-48.4590142965316
CRAS OUTEIRO,Belém,PA,SÃO JOÃO DO OUTEIRO,"BEIRA-MAR, 310",66840050,crasouteiro@hotmail.com,-126.237072300737,-48.4718191623687
CRAS BENGUÍ,Belém,PA,BENGUÍ,"BETÂNIA, 16",66630140,crasbenguipmb@gmail.com,-13.7286324596145,-48.4494656324386
CRAS AURÁ,Belém,PA,ÁGUAS LINDAS,"BR 316 KM 06, S/N",66645000,crasaura@gmail.com,-140.173278434097,-484.273052215576
CRAS TAPANÃ,Belém,PA,PARQUE VERDE,"DAS ROSAS, 194",66633165,crastapana@gmail.com,-135.946807960817,-484.57099199295
CRAS BARREIRO,Belém,PA,TELÉGRAFO,"DJALMA DUTRA, 265",66113010,crasbarreirobelem@gmail.com,-143.08365868995,-48.4888458251953
CRAS CRENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,Belém,PB,CENTRO,"FLÁVIO RIBEIRO, 96",58255000,belemcras@gmail.com,-66.967460174048,-35.5378639698028
CRAS MOSQUEIRO,Belém,PA,FAROL,"FRANCELINO SANTOS, 509",66916040,crasmosqueiro@gmail.com,-113.628090916853,-48.4621739387512
CRAS TERRA FIRME,Belém,PA,MARCO,"LOMAS VALENTINAS, 2585",66093677,crasterrafirme@yahoo.com.br,-143.446984401506,-48.454400897026
CRAS ICOARACI,Belém,PA,PONTA GROSSA,"MANOEL BARATA, 1104",66812020,crasicoaraci@hotmail.com,-130.388090626078,-484.87236499786303
CRAS JURUNAS,Belém,PA,JURUNAS,"MUNDURUCUS, 360",66033343,crasjurunas@yahoo.com.br,-146.959818005249,-484.964632987976
CRAS BELEM/AL,Belém,AL,CENTRO,"PREFEITO JOSÉ CICERO DE SANTA ROSA, 1618",57630000,CRAS.BELEM@HOTMAIL.COM,-95.7059967758023,-36.4928269386291
CRAS PEDREIRA,Belém,PA,PEDREIRA,"TIMBÓ, 1557",66083051,craspedreira@gmail.com,-143.3029948711,-48.4700059890747
CRAS PADRE LUIZ PLEBANY,Belém de Maria,PE,CENTRO,"DA BOA VISTA, S/N",55440000,crasbmaria@gmail.com,-86.2719244426206,-358.368897979016
CRAS - CENTRO DE REFERENCIA DA ASSISTÊNCIA SOCIAL - FRANCISCO EDIMILSON MAIA,Belém do Brejo do Cruz,PB,Miguel Batista,"Antônio Pedro, 13",58895000,assistenciasocial2023bbc@gmail.com,-61.912859389956,-37.5388884544372
CRAS - CENTRO DE REFERENCIA DA ASSISTÊNCIA SOCIAL,Belém do Piauí,PI,CENTRO,"Vereador Jose Virgilio Ribeiro, S/N",64678000,crasbelempi@gmail.com,-73.7940602708967,-40.97252368927
CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL (Casa da Cidadania),Belém do São Francisco,PE,Novo Horizonte,"Dom Francisco Xavier Nierhof, 46",56440000,cras_pbf_belemsf@hotmail.com,-87.456965033781,-38.9649653434753
CRAS Centro de Referência da Assistência Social de Beneditinos,Beneditinos,PI,CENTRO,"Getúlio Vargas, 625",64380000,crasdebeneditinos@gmail.com,-5.46989096609527,-4.24039415705881
CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,Benedito Leite,MA,São José,"BELA VISTA, S/N",65885000,crasbleite@hotmail.com,-721.458365167731,-44.5477366447448
CRAS,Benedito Novo,SC,CENTRO,"Rua Johann Maus, 107",89124000,cras@beneditonovo.sc.gov.br,-267.640235623596,-49.3582248687744
CRAS FLORES,Benevides,PA,Flores,"Leão Delgado, 430",68795000,crasflores5@gmail.com,-136.908375458632,-48.2482302188873
CRAS MURININ,Benevides,PA,MURININ,"MARTINHO MONTEIRO, 552",68795000,murinincras@gmail.com,-12.7748930302746,-48.3247482776641
CRAS - Benjamin Constant,Benjamin Constant,AM,COLONIA,"AMERICO MACIEL, S/N",69630000,crasbc2017@gmail.com,-43.8930895330308,-70.0296235084533
CRAS  Caseado,Benjamin Constant do Sul,RS,centro,"Ernesto Gaboardi, 984",99650000,crasbenjamin@hotmail.com,-27.511449671399,-52.6002216339111
CRAS Centro de Referência de Assistência Social,Bento Fernandes,RN,CENTRO,"Travessa Santos Dummont, 23",59555000,crasbentofernandes@outlook.com,-56.926600617456,-3.58188682794571
CRAS I,Bento Gonçalves,RS,Ouro Verde,"Calisto Orestes Sganzerla, 70",95708038,cras1@bentogoncalves.rs.gov.br,-291.402055685577,-51.5194503826933
CRAS III,Bento Gonçalves,RS,Vila Nova II,"Carlos Dreher Neto, 650",95706058,cras3@bentogoncalves.rs.gov.br,-291.570309109128,-514.936689896421
CRAS II,Bento Gonçalves,RS,JUVENTUDE,"Luiz Giardini, 10",95700266,cras2@bentogoncalves.rs.gov.br,-291.655217559268,-5.15245543828496
CRAS,Bento de Abreu,SP,Centro,"Sampaio Vidal, 250",16790000,social@bentodeabreu.sp.gov.br,-212.732388211674,-50.8122396469116
Centro de Referência de Assistência Social - CRAS,Bequimão,MA,Cidade Nova,"João Reis Martins, S/N",65248000,crasbequimao1@gmail.com,-2.449e-11,-4.4783e-10
CRAS LELIVELDIA,Berilo,MG,CENTRO,"32, 1",39640000,crasleliveldia@hotmail.com,,
CRAS  SEDE,Berilo,MG,Dom Sivestre,"Vereador Teodoro Vieira de Souza, 1",39640000,crasberilomg@hotmail.com,-169.499214160719,-42.4593758578703
CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL DE BERIZAL,Berizal,MG,PLANALTO,"SANTA CRUZ, 501",39555000,social.berizalmg@gmail.com,-156.084468894685,-41.7405796051025
CASA DAS FAMÍLIAS,Bernardino Batista,PB,CENTRO,"Alcino Vicente Egídio, S/N",58922000,crasbbatista@bol.com.br,-64.5434542100885,-38.5499632358551
CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,Bernardino de Campos,SP,JARDIM BRASIL III,"JOÃO PAPIN, 793",18960000,crasbcampos@yahoo.com.br,-230.144089999699,-49.4812614450347
CRAS - CENTRO DE REFERENCIA DE ASSISTÊNCIA SOCIAL DE BERNARDO SAYÃO,Bernardo Sayão,TO,CENTRO,"ERNESTINO MARCELINO ALVES, S/N",77755000,crascras.0001@gmail.com,-78.7724042559784,-48.894567489624
centro de referencia de assistência social,Bernardo do Mearim,MA,centro,"av. manuel matias, S/N",65723000,semasbmm@gmail.com,-458.895625912578,-44.7959610074758
CRAS CHACARAS,Bertioga,SP,Chácaras,"Avenida São Gonçalo, 138",11259222,craschacarasbertioga@gmail.com,-238.001428433473,-460.751456022535
CRAS  VICENTE DE CARVALHO II,Bertioga,SP,Jardim Vicente de Carvalho,"Rua Engenheiro Jose Sanches Ferrari, 789",11250518,crasvc2@gmail.com,-238.298098529289,-46.1480140689957
CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,Bertolínia,PI,CENTRO,"Abel Batista, S/N",64870000,smasbertolinia@gmail.com,-76.395908511296,-439.51912879419905
CRAS BERTOPOLIS,Bertópolis,MG,centro,"Avenida Governador Valadares, 755",39875000,social@bertopolis.mg.gov.br,-1.70655413e-06,-4.05736155e-06
CRAS,Beruri,AM,SÃO PEDRO,"RUA JOSÉ BELARMINO DE AMORIM, 38",69430000,crasberuri.2021@gmail.com,-39.0772156976388,-613.7253373861311
CRAS PETROVALE,Betim,MG,PETROVALE," Marrocos, 100",32668094,SEMASPETROVALE@YAHOO.COM.BR,-199.981926056583,-44.1164910793304
CRAS  ICAIVERA,Betim,MG,ICAIVERA,"AMONGUEABA, 167",32639158,semasicaivera@yahoo.com.br,-198.561197464723,-44.154594540596
CRAS CITROLANDIA,Betim,MG,VARZEA,"ARACAJU, 146",32641856,crascitrolandia@gmail.com,-200.253963254815,-44.227185845375
CRAS VIANOPOLIS,Betim,MG,Marimbá,"Araxá, 450",32623226,semasvianopolis@yahoo.com.br,-199.206435418126,-44.2751383781433
CRAS ALTEROSAS I,Betim,MG,INDUSTRIAL SAO PEDRO,"CIRCULAR, 369",32673114,crasalterosas@yahoo.com.br,-199.442854217577,-44.1709560155868
CRAS BANDEIRINHAS,Betim,MG,BANDEIRINHAS,"FAUSTO RIBEIRO SILVA, 576",32541000,cras.bandeirinhas@gmaill.com,-200.045995378632,-44.1694486141204
CRAS TERESOPOLIS,Betim,MG,JARDIM TERESOPOLIS,"Gaturama, 200",32680130,crasteresopolis@gmail.com,-199.493128994133,-441.11389517784096
CRAS CRUZEIRO DO PTB,Betim,MG,CRUZEIRO,"Igarapava, 330",32661350,crascruzeiroptb@gmail.com,-199.828774186716,-44.1522234678268
CRAS ALTEROSAS II,Betim,MG,JARDIM ALTEROSAS,"Jamour, 81",32670660,crasalterosas2@gmail.co,-199.535939452333,-44.1611713171005
CRAS GUANABARA,Betim,MG,Guanabara,"Joaquim Cesário Resende, 118",32667022,crascamposeliseos2180@hotmail.com,-19.9674195684808,-44.1343224048614
CRAS VILA RECREIO,Betim,MG,JARDIM TERESOPOLIS,"Liberdade, 65",32682999,crasvilarecreiobetim@gmail.com,-19.9523484703817,-441.23711585998495
CRAS IMBIRUÇU,Betim,MG,Capelinha,"NOVA YORK, 341",32677164,crasimbirucu@gmail.com,-199.419304699475,-441.064220666885
CRAS JARDIM PERLA,Betim,MG,Vila Cristina,"Pitangui, 353",32686320,crasjdperla@yahoo.com.br,-199.379365527621,-441.417092084884
CRAS NORTE,Betim,MG,Vila das Flores,"RUA 4, 3",32605245,crasnortebetim@gmail.com,-199.312747566006,-44.1808050870895
CRAS ALTO BOA VISTA,Betim,MG,Alto Boa Vista,"Recanto do Sossego, 509",32641278,crasaltoboavistaa@gmail.com,-2.00330015e-06,-4.42221015e-06
CRAS SAO JOAO,Betim,MG,SÃO JOÃO,"TAVIRA, 241",32655616,crassaojoaobetim@gmail.com,-19.9769838509402,-441.649317741394
CRAS - CENTRO DE REFERENCIA  DA ASSISTENCIA SOCIAL,Betânia,PE,ALTO BOM JESUS,"TRAVESSA BRIGADEIRO EDUARDO GOMES, S/N",56670000,cras_betaniape@hotmail.com,-82.6819558874511,-380.401015283132
CRAS SÃO CAETANO,Betânia,PE,CENTRO,"VEREADOR ANTONIO TEOTONIO DE SOUZA, S/N",56670000,smas_betaniape@hotmail.com,-8.18559897895548,-37.9844558240256
Centro de Referência da Assistência Social- Casa da Família,Betânia do Piauí,PI,Centro,"RAIMUNDO TIBURCIO, S/N",64753000,crasbet.pi@outlook.com,-8.148e-11,-4.0796e-10
CRAS I - Centro de Referência da Assistência Social - IRMÃ JÚLIA,Bezerros,PE,SANTO AMARO I,"FELIX ROCHA WANDERLEY, 72",55660000,crasirmajulia.bezerros@gmail.com,-82.4275272524565,-35.7615441092093
CRAS III - Centro de Referência da Assistência Social - Encruzilhada,Bezerros,PE,Encruzilhada de São João,"JOANA MARIA DE MORAES, 54",55660000,crasencruzilhada.bezerros@gmail.com,-82.9935810098641,-358.425132930278
CRAS II - Centro de Referência da Assistência Social - São Pedro,Bezerros,PE,SÃO PEDRO,"MANOEL DE ANDRADE SANTOS, 54",55660000,crassaopedro.bezerros@gmail.com,-82.3578725485458,-35.745846032878
CRAS IV - Centro de Referência da Assistência Social - SERRA NEGRA,Bezerros,PE,Zona Rural,"Serra Negra, 18120",55660000,crasserranegra.bezerros@gmail.com,-8.16728960160583,-35.7692366838455
CRAS BIAS FORTES,Bias Fortes,MG,SANTO EXPEDITO,"PREFEITO ODILON DE OLIVEIRA FONSECA, 70",36230000,crasbiasfortes@hotmail.com,-216.06724416061,-437.625789642334
CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL JOSÉ CÚGOLA DA SILVA,Bicas,MG,CENTRO,"JOSE SOARES, 171",36600000,cras@bicas.mg.gov.br,-2.17170688e-06,-4.30654071e-06
CRAS I - Casa da Família,Biguaçu,SC,PRAIA JOAO ROSA,"JOAO MARTINIANO RODRIGUES, 240",88160368,cras@bigua.sc.gov.br,-275.098179149874,-486.409217119268
CRAS II - Orival Prazeres,Biguaçu,SC,Universitário,"Prefeito Paulo Frederico Alves Wildner, 391",88161048,cras2@bigua.sc.gov.br,-27.5000303544765,-48.6600941419601
CRAS,Bilac,SP,DISTRITO INDUSTRIAL E COMERCIAL OVÍDIO,"MARECHAL DEODORO, 1190",16210000,cras@bilac.sp.gov.br,-21.4019144064818,-50.4796886444091
CRAS,Biquinhas,MG,CENTRO,"Gustavo Capanema, 22",35621000,crasbiquinhas@yahoo.com.br,-187.853359234573,-45.5022597312927
CRAS - Centro de Referência de Assistência Social I,Birigui,SP,Quemil,"Ermando Zin, 647",16202237,cras.quemil@birigui.sp.gov.br,-212.782930674441,-50.3181250529451
CRAS - Centro de Referência de Assistência Social II,Birigui,SP,Núcleo Habitacional Thereza Maria Barb,"Pedro Barnabé, 101",16203220,cras.bandeirante@birigui.sp.gov.br,-212.9585206505,-503.142178058624
CRAS - Centro de Referência de Assistência Social IV,Birigui,SP,Residencial Portal da Pérola II,"VALÉRIO ANHE RIBALTA, 730",16201420,cras4@birigui.sp.gov.br,-212.52449952064,-503.17373275476
CRAS - Centro de Referência de Assistência Social III -,Birigui,SP,RESIDENCIAL ALVORADA,"WILSON TRONCOSO, 315",16204155,cras.laluce@birigui.sp.gov.br,-213.079470232245,-0.50349440574646
CRAS - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,Biritiba Mirim,SP,CENTRO,"GILDO SEVALLI, 257",8940000,cras@biritibamirim.sp.gov.br,-235.727196107202,-46.0388946533203
CRAS JAIME TRAJANO DE CARVALHO,Biritinga,BA,CENTRO,"Edvaldo Araújo Lustosa, 24",48780000,crasjtbiritinga@gmail.com,-116.176007659621,-387.999987602233
CRAS de Bituruna,Bituruna,PR,Jardim Andreia/Centro,"Maximiliano Greselle, 49",84640000,assistenciasocial@bituruna.pr.gov.br,-261.584425583943,-51.5560698509216
CRAS REGIÃO III,Blumenau,SC,FORTALEZA,"ALBERTO FELICIO ADRIANO, 150",89055050,cras.regiao3@blumenau.sc.gov.br,-2.68773455e-06,-4.90644799e-06
CRAS REGIÃO IV,Blumenau,SC,VORSTADT,"ANTÔNIO TREIS, 55",89015400,cras.regiao4@blumenau.sc.gov.br,-26.9015392710933,-490.434810519192
CRAS REGIÃO II,Blumenau,SC,Da Glória,"Da Glória, 459",89025300,cras.regiao2@blumenau.sc.gov.br,-269.62742004863,-49.0643191330934
CRAS REGIÃO VII,Blumenau,SC,FIDELIS,"GODOFREDO RANGEL, 670",89060170,cras.regiao7@blumenau.sc.gov.br,-268.487943919168,-49.0677387069757
CRAS REGIÃO I,Blumenau,SC,Água Verde,"Margarida Waldrich, 250",89042160,cras1.semudes@blumenau.sc.gov.br,-26.9104275067595,-491.266214847462
CRAS REGIÃO V,Blumenau,SC,ESCOLA AGRICOLA,"Paul Lenz, 32",89037584,cras.regiao5@blumenau.sc.gov.br,-268.948216194801,-4.90990971436935
CRAS REGIÃO VI,Blumenau,SC,ITOUPAVA CENTRAL,"Zelinde Cardoso, 70",89068080,cras.regiao6@blumenau.sc.gov.br,-26.8205508379332,-490.90433120727505
CRAS Paulo Ferreira de Souza,Boa Esperança,PR,Centro,"BAHIA, S/N",87390000,crasboaesperanca@gmail.com,-24.2439417632997,-52.7895104885101
CRAS I,Boa Esperança,MG,Centenario,"Geraldo Lopes, 29",37170000,cras1gmjc@gmail.com,-210.993149588637,-45.5601525306701
CRAS II,Boa Esperança,MG,Maringá,"Mato Grosso, 382",37170000,smpsh.cras2@boaesperanca.mg.gov.br,-2.1081506e-07,-4.55752355e-06
CRAS,Boa Esperança,ES,Nova Cidade,"São Paulo, 465",29845000,cras.boaesperanca@hotmail.com,-185.419742477356,-40.2903306484222
CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL -  ESPAÇO DA CIDADANIA,Boa Esperança do Iguaçu,PR,CENTRO," DOS CRAVOS, 64",85680000,cras.bei@hotmail.com,-256.362258618913,-532.173442840576
CRAS  VEREADOR LUIZ EDUARDO RIBEIRO LOPES,Boa Esperança do Sul,SP,ALTOS DO VISTA VERDE,"RICIERI PAGANINI, 1478",14930000,cras@boaesperanca.sp.gov.br,-220.050901225316,-48.3932518959045
CRAS DO MUNICIPIO DE BOA HORA,Boa Hora,PI,Centro,"AV PEDRO COELHO DE RESENDE, S/N",64108000,semasboahora@hotmail.com,-44.1113126638244,-420.842027664184
CRAS - CASA DAS FAMÍLIAS,Boa Nova,BA,DIOCLECIO COELHO,"DOUTOR ANTÔNIO MARQUES FILHO, 5",45250000,crasboanova@gmail.com,-143.867972461824,-40.2044677734375
CRAS CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL DEP. RÔMULO JOSE DE GOUVEIA,Boa Ventura,PB,VEREADOR LUIZ LOPES,"JOSÉ ALVARENGA SOBRINHO, S/N",58993000,crasboaventura@gmail.com,-74.2611303899367,-38.2146495580673
CRAS - CASA DAS FAMÍLIAS,Boa Ventura de São Roque,PR,CENTRO,"NATAL PONTAROLO, 32",85000225,assistenciasocial_2017@hotmail.com,-24.8837113339544,-515.45877456665
CRAS FRANCISCO SALES DO NASCIMENTO - CRAS II,Boa Viagem,CE,COHAB,"JOSÉ VIEIRA DE FREITAS, 100",63870000,cras2bv.ce@hotmail.com,-50.8797331786286,-398.089814186096
CRAS I,Boa Viagem,CE,VILA HOLANDA,"MARIA DE NAZARÉ BEZERRA, 10",63870000,cras01@boaviagem.ce.gov.br,-51.333147951033,-397.335174679756
CRAS NOVA CIDADE,Boa Vista,RR,NOVA CIDADE,"CURITIBA, 372",69316192,crasnovacidadesemges@gmail.com,2.7656454e-07,-6.07317056e-06
CRAS PINTOLÂNDIA,Boa Vista,RR,PINTOLÂNDIA,"DELMAN VERAS, S/N",69314452,craspintolandia@gmail.com,28.0705266834341,-60.7403773069381
CRAS SÀO FRANCISCO,Boa Vista,RR,Centro,"FLORIANO PEIXOTO, 144",69301320,crassaofrancisco.bv@gmail.com,2.816761e-08,-6.06667387e-06
CRAS UNIÃO,Boa Vista,RR,UNIÃO,"HILDA SOBRAL GUEDES, 81",69313770,crasuniao.bv@gmail.com,2.8445156e-07,-6.07291653e-06
CRAS CAUAMÉ,Boa Vista,RR,Cauamé,"Paraguai, 250",69311114,crascauame@hotmail.com,2.8441051e-07,-6.07095406e-06
CRAS,Boa Vista,PB,Centro,"Rua Valfrerdo Gomes, ",58123000,semasbvpb@hotmail.com,-72.6154206787141,-36.2428987026214
CRAS Drº SILVIO LEITE,Boa Vista,RR,Drº Sílvio Leite,"Rua: Marieta de  Melo Marques, 869",69314354,cras_silvioleite@outlook.com,28.2317293662291,-6.07440471650989
CRAS CENTENÁRIO,Boa Vista,RR,CENTENÁRIO,"SANTO AGOSTINHO, 193",69312490,crascentenariosemges@gmail.com,2.7963091e-07,-6.07147575e-06
CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL  DE BOA VISTA DA APARECIDA,Boa Vista da Aparecida,PR,CENTRO,"AV. CICERO BARBOSA SOBRINHO, 1190",85780000,secassistencia@yahoo.com.br,-254.367639271611,-534.091544151306
CRAS CENTRO SOCIAL,Boa Vista das Missões,RS,Centro,"DEMÉTRIO RIGON, 4045",98335000,associal_bvdm@yahoo.com.br,-276.630046949034,-53.3140110969543
CRAS Bem Me Quer,Boa Vista do Buricá,RS,Centro,"TRES PASSOS, 250",98918000,direcaosocial@boavistadoburica.rs.gov.br,-27.6695041851536,-54.1123867034912
CRAS CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL - BEM VIVER,Boa Vista do Cadeado,RS,CENTRO,"CINCO IRMÃOS, 1170",98118000,bvccras@gmail.com,-285.757973980921,-53.8124728202819
CRAS - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL DE BOA VISTA DO GURUPI,Boa Vista do Gurupi,MA,Bairro Novo II,"Rua Osvandro Martins, 201",65292000,docrasbvg@gmail.com,-1.788e-11,-4.6303e-10
CRAS Esperança,Boa Vista do Incra,RS,centro,"Heraclides de Lima Gomes, S/N",98120000,assistencia@boavistadoincra.rs.gov.br,-2.8819e-10,-5.3387e-10
centro de referencia de assistencia social,Boa Vista do Ramos,AM,Centro,"JUSCELINO KUBITSCHEK, 345",69195000,semasbvr@hotmail.com,-297.220590102893,-575.871348381042
CRAS Manoel Luis de Lima,Boa Vista do Tupim,BA,Artista,"Largo Doutor San Juan, 2",46850000,crasbvtsede@gmail.com,-126.577996692506,-40.6068634986877
CRAS ADELINA FERREIRA GOMES,Boa Vista do Tupim,BA,TERRA BOA,"VALE DO PARAGUAÇU, S/N",46850000,crasterraboa.bvt@gmail.com,-129.679370194639,-40.7182312018994
CRAS Boca da Mata,Boca da Mata,AL,Mutirão,"Manoel Moreira de Albuquerque, 1",57680000,crasbmal@hotmail.com,-96.4640923170554,-3.62056052684784
CRAS BOCA DO ACRE,Boca do Acre,AM,PRAIA DO GADO,"BAHIA, 1839",69850000,semas_bocadoacre@hotmail.com,-87.4043683702615,-67.4014234542846
José Orides Caravieri,Bocaina,SP,Jardim José Tonon,"Prefeito Guilherme Giraldi Ferreira Cam, 673",17242072,cras@bocaina.sp.gov.br,-22.1461115419528,-48.5331773757934
CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL,Bocaina,PI,CENTRO,"SANTO ANTONIO, S/N",64630000,lianab.moura@hotmail.com,-6.943e-11,-4.1323e-10
CRAS Centro de Referência da Assistência Social de Bocaina de Minas,Bocaina de Minas,MG,Centro,"Álvaro Benfica, 170",37340000,sec_ass.socialbm@yahoo.com.br,-2.2168e-10,-4.4395e-10
CRAS João Martignago,Bocaina do Sul,SC,Centro,"Evaldo Assink, 31",88538000,assistenciabocainadosulsc@gmail.com,-277.457967472927,-499.42388534545904
CRAS II - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL-CRAS II,Bocaiúva,MG,Monte Rey,"Araxá, 56",39390000,craspernambuco@gmail.com,-171.235964941284,-43.8089919090271
CRAS RURAL,Bocaiúva,MG,CENTRO,"IZIDRO CALDEIRA, 33",39390000,boccrasrural@gmail.com,-171.088209791984,-43.8143348693847
CRAS Renascer Dolabela,Bocaiúva,MG,Centro,"Praça do Hospital, S/N",39390000,crasrenascerdolabela@gmail.com,-17.4694732168342,-44.0071105957031
CRAS I - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL - CRAS I,Bocaiúva,MG,ESPLANADA,"Vereador Antônio Augusto Figueiredo, 208",39390000,cras1@yahoo.com,-171.138915431727,-43.8180738687515
CRAS ALECIO ALFREDO ARCIE,Bocaiúva do Sul,PR,CENTRO,"Francisco Rocha, 333",83450000,crasbocaiuvadosul@hotmail.com,-25.2086104754757,-491.096967458725
CRAS SÃO FRANCISCO,Bodocó,PE,ZONA RURAL,"  RUA NOVA  - VILA CACIMBA NOVA, 180",56220000,crassaofrancisco6@gmail.com,-7.78343916295265,-399.266037948837
CRAS SÃO JOSÉ,Bodocó,PE,CENTRO,"MANOEL PEREIRA HORAS, 68",56220000,crasbodoco@gmail.com,-77.7673371045373,-39.93980884552
CRAS SÃO PEDRO,Bodocó,PE,ZONA RURAL,"RUA MARIA DOLORES, 45",56220000,anapaularafaiza@gmail.com,-77.7522422479802,-399.36118125915505
CRAS Casa das Familias,Bodoquena,MS,CENTRO,"MANOEL DE PINHO, 204",79390000,crasbodoquena@gmail.com,-205.393573317589,-56.7148804664611
CRAS - CENTRO DE REFERENCIA DE ASSISTÊNCIA SOCIAL,Bodó,RN,CENTRO,"PEDRO MACEDO, 63",59528000,crasnovobodo@gmail.com,-5.988e-11,-3.6413e-10
CRAS ILAZIR SURRAGE GIANI,Bofete,SP,COHAB I,"ETORI CAPELARI, 27",18590000,crasbofete@hotmail.com,-230.990955086896,-482.669734954834
CRAS - CENTRAL,Boituva,SP,PARQUE NOSSA SENHORA DAS GRAÇAS,"JOÃO MARCON, 283",18550610,cras.social@boituva.sp.gov.br,-23.2809652495821,-47.6648604869842
CRAS,Boituva,SP,Pq.Residencial Novo Mundo,"NELSON ANDRADE, 900",18558070,crasnovomundo@boituva.sp.gov.br,-232.597791145518,-47.6715469359442
CRAS PARMALAT,Bom Conselho,PE,PARMALAT,"COMUNITÁRIA, S/N",55330000,secsocialbc@hotmail.com,-91.7930084565589,-36.6830867528915
CRAS RAINHA IZABEL,Bom Conselho,PE,ZONA RURAL,"DA AREIA, S/N",55330000,secsocialbc@hotmail.com,-92.7981521750335,-366.120028495788
CRAS SANTA TEREZINHA,Bom Conselho,PE,CENTRO,"Monteiro Lobato, S/N",55330000,secsocialbc@hotmail.com,-91.6506036585112,-366.763758659362
CRAS - REGIÃO OESTE - SV,Bom Despacho,MG,São Vicente,"Alisson Justino de Souza, 1009",35634230,cras-sv@pmbd.mg.gov.br,-197.450497820907,-45.2814012765884
CRAS - REGIÃO LESTE - ANA ROSA,Bom Despacho,MG,ANA ROSA,"CRUZ DO MONTE, 55",35632066,cras-ac@pmbd.mg.gov.br,-197.393190435962,-45.2451860904693
CRAS - QUENTA SOL / ROSÁRIO,Bom Despacho,MG,REALENGO,"DR. JUCA, 783",35630086,cras-qr@pmbd.mg.gov.br,-19.7424172023341,-4.52676072119357
CRAS - REGIÃO NORTE - BO,Bom Despacho,MG,OZANAN,"PICÃO CAMACHO, 500",35636188,cras-bo@pmbd.mg.gov.br,-197.3150269161,-4.52633285522461
CRAS MUNICIPAL,Bom Jardim,PE,CENTRO,"19 de Julho, S/N",55730000,bomjardimpecras@gmail.com,-7.796e-11,-3.5587e-10
CRAS PORTAL DA ESPERANÇA,Bom Jardim,MA,VILA  ESPERANÇA,"DA ESTRELA, S/N",65380000,cras2.bomjardim.ma@gmail.com,-3.565e-11,-4.5994e-10
CRAS IRMÃ ELISA MARIA SOTGIA,Bom Jardim,MA,ALTO DOS PRAXEDES,"JOSE PEDRO, S/N",65380000,irmamariaelisa17@gmail.com,-35.6456424957367,-45.9955072402954
